@relation distancias_entrenamiento-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute neurona1 numeric
@attribute neurona2 numeric
@attribute neurona3 numeric
@attribute neurona4 numeric
@attribute neurona5 numeric
@attribute neurona6 numeric
@attribute neurona7 numeric
@attribute neurona8 numeric
@attribute neurona9 numeric
@attribute neurona10 numeric
@attribute neurona11 numeric
@attribute neurona12 numeric
@attribute neurona13 numeric
@attribute neurona14 numeric
@attribute neurona15 numeric
@attribute neurona16 numeric
@attribute neurona17 numeric
@attribute neurona18 numeric
@attribute neurona19 numeric
@attribute neurona20 numeric
@attribute neurona21 numeric
@attribute neurona22 numeric
@attribute neurona23 numeric
@attribute neurona24 numeric
@attribute neurona25 numeric
@attribute neurona26 numeric
@attribute neurona27 numeric
@attribute neurona28 numeric
@attribute neurona29 numeric
@attribute neurona30 numeric
@attribute neurona31 numeric
@attribute neurona32 numeric
@attribute neurona33 numeric
@attribute neurona34 numeric
@attribute neurona35 numeric
@attribute neurona36 numeric
@attribute neurona37 numeric
@attribute neurona38 numeric
@attribute neurona39 numeric
@attribute neurona40 numeric
@attribute neurona41 numeric
@attribute neurona42 numeric
@attribute neurona43 numeric
@attribute neurona44 numeric
@attribute neurona45 numeric
@attribute neurona46 numeric
@attribute neurona47 numeric
@attribute neurona48 numeric
@attribute neurona49 numeric
@attribute neurona50 numeric
@attribute neurona51 numeric
@attribute neurona52 numeric
@attribute neurona53 numeric
@attribute neurona54 numeric
@attribute neurona55 numeric
@attribute neurona56 numeric
@attribute neurona57 numeric
@attribute neurona58 numeric
@attribute neurona59 numeric
@attribute neurona60 numeric
@attribute neurona61 numeric
@attribute neurona62 numeric
@attribute neurona63 numeric
@attribute neurona64 numeric
@attribute neurona65 numeric
@attribute neurona66 numeric
@attribute neurona67 numeric
@attribute neurona68 numeric
@attribute neurona69 numeric
@attribute neurona70 numeric
@attribute neurona71 numeric
@attribute neurona72 numeric
@attribute neurona73 numeric
@attribute neurona74 numeric
@attribute neurona75 numeric
@attribute neurona76 numeric
@attribute neurona77 numeric
@attribute neurona78 numeric
@attribute neurona79 numeric
@attribute neurona80 numeric
@attribute neurona81 numeric
@attribute neurona82 numeric
@attribute neurona83 numeric
@attribute neurona84 numeric
@attribute neurona85 numeric
@attribute neurona86 numeric
@attribute neurona87 numeric
@attribute neurona88 numeric
@attribute neurona89 numeric
@attribute neurona90 numeric
@attribute neurona91 numeric
@attribute neurona92 numeric
@attribute neurona93 numeric
@attribute neurona94 numeric
@attribute neurona95 numeric
@attribute neurona96 numeric
@attribute clase {1,2,3,4,5,6,7,8,9,10}

@data
0.084241,0.217027,0.125208,0.151153,0.054562,0.067584,0.091619,0.033202,0.213025,0.042385,0.045516,0.027742,0.064567,0.142786,0.098103,0.035495,0.055562,0.071049,0.148886,0.181021,0.101339,0.088405,0.085394,0.124628,0.158111,0.313028,0.196474,0.114587,0.115599,0.077617,0.241493,0.121946,0.093169,0.205769,0.078427,0.074469,0.064567,0.02748,0.117571,0.117133,0.115513,0.035857,0.123936,0.367935,0.196354,0.207544,0.083005,0.087266,0.125208,0.569289,0.158672,0.041508,0.042409,0.182351,0.170716,0.263288,0.091101,0.067024,0.117894,0.430641,0.059101,0.226257,0.267801,0.041508,0.034315,0.050747,0.078178,0.098163,0.059101,0.033202,0.074469,0.225169,0.126369,0.181195,0.347271,0.092908,0.091619,0.041508,0.095225,0.095574,0.081269,0.11573,0.117553,0.09351,0.054562,0.105671,0.074608,0.038721,0.145781,0.069398,0.059101,0.054562,0.154516,0.064567,0.120075,0.074469,1
0.149691,0.071057,0.112623,0.107923,0.103652,0.122645,0.057131,0.064567,0.0225,0.052639,0.033156,0.055601,0.12343,0.103421,0.128305,0.20899,0.147523,0.091962,0.098538,0.185549,0.092626,0.157688,0.106433,0.077166,0.113185,0.062622,0.041517,0.149458,0.165807,0.198097,0.178542,0.115132,0.122069,0.079486,0.19935,0.192322,0.081647,0.685997,0.173488,0.173712,0.165909,0.511941,0.077721,0.069282,0.096115,0.101063,0.198407,0.199998,0.047544,0.059945,0.020339,1,0.610181,0.07437,0.085466,0.095977,0.078335,0.166275,0.069446,0.081113,0.112623,0.122835,0.118667,0.12343,0.044771,0.096115,0.140282,0.091074,0.047544,0.138017,0.041508,0.085102,0.075702,0.13738,0.051494,0.173315,0.084228,0.12343,0.062166,0.062306,0.106321,0.108703,0.079486,0.090036,0.103652,0.096115,0.140314,0.167393,0.096115,0.089714,0.074892,0.069282,0.156666,0.051494,0.045074,0.041508,2
0.171879,0.117844,0.181421,0.118653,0.233434,0.254081,0.333525,0.153686,0.059938,0.13681,0.098897,0.09989,0.136634,0.117407,0.199181,0.233434,0.237553,0.273451,0.155121,0.112764,0.044333,0.039154,0.048723,0.086555,0.175069,0.044574,0.045526,0.048496,0.051897,0.046468,0.067114,0.090078,0.135981,0.059886,0.047312,0.045516,0.056314,0.061525,0.052727,0.052712,0.051893,0.07725,0.500782,0.233434,0.214903,0.214956,0.048402,0.048527,0.052043,0.066194,0.010372,0.089893,0.090095,0.118278,0.133566,0.07234,0.083433,0.137682,0.115195,0.05994,0.124746,0.0645,0.062398,0.056314,0.215712,0.292809,0.293798,0.274685,0.082517,0.292809,0.106585,0.094485,0.083339,0.081223,0.056314,0.137608,0.093506,0.199594,0.347696,0.348283,0.081221,0.293683,0.08829,0.100582,0.233434,0.106585,0.301529,0.186122,0.071242,0.270584,0.255514,0.233434,0.062251,0.089893,0.113004,0.153686,3
0.151521,0.384674,0.112623,0.199609,0.103652,0.169871,0.119983,0.192322,0.079879,0.052639,0.056314,0.056863,1,0.106791,0.089714,0.284752,0.149889,0.180094,0.042761,0.071741,0.317939,0.036369,0.069788,0.077099,0.113275,0.180949,0.138077,0.069282,0.074258,0.064727,0.128623,0.214214,0.492439,0.035439,0.066122,0.064567,0.081647,0.089893,0.07533,0.07518,0.074249,0.114641,0.051569,0.044264,0.041508,0.043871,0.067522,0.068889,0.074892,0.08958,0.03614,0.12343,0.123643,0.074318,0.056865,0.02503,0.075717,0.086832,0.103933,0.079862,0.015812,0.057419,0.055336,0.051494,0.099255,0.096115,0.064447,0.091074,0.074892,0.192322,0.096115,0.058703,0.113831,0.103278,0.12343,0.12725,0.296664,0.12343,0.122953,0.123257,0.107912,0.075736,0.079486,0.090036,0.149458,0.096115,0.066887,0.115706,0.096115,0.128305,0.074892,0.103652,0.081185,0.051494,0.069201,0.064567,4
0.202827,0.056997,0.087549,0.112078,0.214219,0.17221,0.125597,0.105671,0.156108,0.264477,0.390192,0.295998,0.064567,0.231053,0.134908,0.114587,0.084811,0.3055,0.076291,0.138789,0.069245,0.0884,0.085394,0.319212,0.156119,0.049083,0.050848,0.035495,0.036556,0.149914,0.070603,0.0626,0.066148,0.04233,0.109555,0.105671,0.041508,0.045516,0.037876,0.03779,0.036442,0.019335,0.130071,0.114587,0.105671,0.112053,0.112847,0.109878,0.087549,0.129289,0.016564,0.041508,0.025913,0.184391,0.123852,0.051535,0.175496,0.129071,0.368354,0.085294,0.087549,0.223138,0.156618,0.096115,0.148638,0.105671,0.107477,0.239352,0.406407,0.196354,0.259067,0.095024,0.126369,0.18601,0.041508,0.094285,0.125597,0.138017,0.130663,0.131459,0.121928,0.151972,0.086016,0.152124,0.283324,0.259067,0.076945,0.126442,0.105671,0.098103,0.059101,0.114587,0.061604,0.452942,0.468584,1,5
0.258855,0.071057,0.074892,0.107997,0.103652,0.169769,0.166069,0.138017,0.079873,0.081784,0.089893,0.135586,0.081647,0.074681,0.060563,0.149458,0.209721,0.179884,0.043564,0.243658,0.425091,0.081646,0.069788,0.115699,0.055194,0.091163,0.096085,0.284752,0.289662,0.144009,0.062921,0.278929,0.120548,0.079486,0.345741,0.347271,1,0.089893,0.289249,0.28923,0.289475,0.114553,0.076171,0.069282,0.096115,0.099692,0.347996,0.351182,0.112623,0.082588,0.057638,0.081647,0.083351,0.073173,0.085533,0.097621,0.231011,0.166275,0.209255,0.036903,0.112623,0.119082,0.083924,0.12343,0.140518,0.096115,0.065628,0.089602,0.074892,0.192322,0.192322,0.085041,0.228176,0.144101,0.051494,0.168541,0.119983,0.179507,0.168653,0.168789,0.210946,0.149373,0.079486,0.21027,0.044264,0.138017,0.096252,0.23442,0.192322,0.178181,0.228852,0.379456,0.115225,0.081647,0.070618,0.041508,6
0.296156,0.267843,0.217505,0.232775,0.146826,0.118814,0.116145,0.134908,0.082801,0.130193,0.099543,0.142216,0.178181,0.133237,0.219539,0.106428,0.147337,0.093326,0.186931,0.213113,0.457401,0.192383,0.335537,0.222319,0.147892,0.29344,0.134897,0.146826,0.151353,0.184191,0.286708,0.486309,0.265439,0.189294,0.247241,0.238518,0.178181,0.142939,0.155039,0.154629,0.151234,0.085832,0.220029,0.260924,0.308451,0.316547,0.248808,0.253881,0.116345,0.119697,0.071455,0.128305,0.130339,0.132045,0.116262,0.135209,0.221979,0.159287,0.197833,0.11407,0.287669,0.262213,0.200148,0.089714,0.071784,0.134908,0.139034,0.125031,0.081674,0.181211,0.098103,0.156412,0.287289,0.168951,0.241354,0.159734,0.203304,0.128305,0.122488,0.122752,0.151768,0.229381,0.144809,0.232837,0.106428,0.098103,0.236998,0.082607,0.134908,0.091038,0.161033,0.197761,0.397872,0.089714,0.106814,0.069398,7
0.222127,0.177008,0.135651,0.12211,0.403137,0.250438,0.183673,0.158601,0.170526,0.284831,0.319019,0.322489,0.20899,0.201507,0.106428,0.233633,0.180703,0.544956,0.082428,0.198239,0.196152,0.093129,0.125572,0.352865,0.22723,0.078535,0.080415,0.037916,0.039831,0.119575,0.052159,0.172849,0.186125,0.066313,0.162456,0.158601,0.103652,0.048496,0.040485,0.040398,0.039725,0.036075,0.199363,0.124201,0.114587,0.120075,0.165288,0.163164,0.135651,0.102355,0.030361,0.044264,0.044379,0.154561,0.099371,0.055407,0.188386,0.140544,0.310176,0.066604,0.094467,0.182935,0.130751,0.103652,0.285774,0.114587,0.159033,0.198267,0.189025,0.367935,0.283324,0.139656,0.190907,0.157837,0.103652,0.140738,0.183673,0.284752,0.191368,0.192222,0.180581,0.164074,0.093395,0.171011,0.309763,0.214219,0.116566,0.259126,0.08044,0.197761,0.135651,0.233633,0.067734,0.284752,0.401109,0.470217,8
0.217657,0.061254,0.256787,0.043969,0.172481,0.316052,0.24176,0.158601,0.067722,0.103771,0.114877,0.11607,0.103652,0.062187,0.197761,0.233633,0.17563,0.260871,0.081216,0.198239,0.198791,0.046822,0.087676,0.141106,0.067621,0.054591,0.054495,0.086844,0.093259,0.119575,0.034244,0.095343,0.070646,0.066313,0.212775,0.214219,0.379456,0.076391,0.091232,0.091306,0.093193,0.148362,0.263246,0.124201,0.158601,0.160525,0.216355,0.218414,0.135651,0.070153,0.029767,0.069282,0.105451,0.060923,0.048854,0.055407,0.135099,0.31046,0.172689,0.031393,0.135651,0.135888,0.070011,0.149458,0.289684,0.283324,0.116547,0.106477,0.040796,0.158601,0.114587,0.099019,0.188277,0.062028,0.069282,0.072374,0.136742,0.379456,0.246918,0.247294,0.127095,0.122813,0.066313,0.135026,0.172481,0.08044,0.284802,0.340825,0.08044,0.338129,0.256787,1,0.068849,0.103652,0.12462,0.114587,9
0.185206,0.098572,0.282141,0.134073,0.135651,0.155535,0.202075,0.125208,0.07393,0.075013,0.052043,0.081727,0.112623,0.095173,0.287669,0.445177,0.254834,0.222831,0.128108,0.218797,0.166274,0.049896,0.063939,0.047103,0.07371,0.11818,0.125102,0.189025,0.200061,0.091468,0.118219,0.143689,0.150468,0.102186,0.174341,0.17388,0.228852,0.255514,0.201761,0.201771,0.200231,0.243646,0.211949,0.135651,0.125208,0.129798,0.179394,0.178906,0.068647,0.078995,0.018276,0.228852,0.232122,0.094667,0.110299,0.127195,0.105351,0.346723,0.257043,0.072645,0.068647,0.079798,0.104438,0.163082,0.177224,0.235528,0.179272,0.218036,0.068647,0.235528,0.087549,0.149465,0.149665,0.128085,0.112623,0.15441,0.108749,0.312758,0.210606,0.210949,0.195562,0.178478,0.102186,0.146714,0.135651,0.17388,0.239646,0.502642,0.17388,0.217505,0.207073,0.341317,0.05053,0.047544,0.094483,0.087549,10
